Vehicle,Sold,Delivered,Trim,Stock Number,Pricing,Msrp,Mileage,Leads,Last lead,Deals,Age
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454736,54280.0,54280.0,6,1,05/04/2026 12:02:59 +00:00,3,5
2027 BMW X6,No,No,M60i Sports Activity Coupe,B9448120,107950.0,107950.0,7,1,05/02/2026 15:59:25 +00:00,4,5
2017 Rolls-Royce Dawn,No,No,Convertible,RPU210360B,229990.0,229990.0,37391,0,,0,6
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9442936,85380.0,85380.0,7,1,05/02/2026 17:23:33 -05:00,3,6
2026 BENTLEY CONTINENTAL CONVERTIBLE GT,No,No,Base,RC029197,0.0,0.0,38,0,,0,6
2022 Bentley Bentayga,No,No,AWD,RC033518A,159990.0,159990.0,24422,0,,0,6
2022 BMW X3,No,No,M40i Sports Activity Vehicle,B9445042B,0.0,0.0,54009,0,,0,6
2026 BENTLEY CONTINENTAL CONVERTIBLE GT,No,No,Base,RC029157,0.0,0.0,30,0,,0,6
2020 Bentley Continental,No,No,GT V8 Convertible,RC028781A,189990.0,189990.0,4723,0,,0,6
2021 Rolls-Royce Cullinan,No,No,Sport Utility,RU235651A,321269.0,321269.0,18132,0,,0,6
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW60087,57565.0000,57565.0000,8,0,,0,6
2023 Honda Civic Sedan,No,No,Sport CVT,B5632083A,0.0000,0.0000,31625,0,,0,6
2019 MINI Convertible,No,No,Cooper S FWD,BP3R26785A,19891.0,19891.0,48728,0,,0,6
2026 Bentley Continental GT,No,No,Base,RC029161,0.0,0.0,31,0,,0,6
2023 Kia K5,No,No,EX Auto FWD,BP9204597A,0.0000,0.0000,24282,0,,0,6
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9316245B,40200.0,40200.0,14134,0,,0,6
2026 Bentley Continental GT,No,No,Base,RC029208,0.0,0.0,40,0,,0,6
2023 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B9453139A,31799.0,31799.0,26662,0,,0,6
2021 BMW 3 Series,No,No,330i Sedan North America,BFV87398B,0.0000,0.0000,92886,0,,0,6
2026 Toyota Corolla Hatchback,No,No,SE CVT,BFW55719B,0.0000,0.0000,2375,0,,0,6
2026 BMW 3 Series,No,No,M340i NA Sedan,B8G39045,68090.0000,68090.0000,7,0,,0,6
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,BP9U68020,0.0,0.0,8104,0,,0,6
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9442699,86180.0,86180.0,8,0,,0,6
2026 BMW 3 Series,No,No,330i NA Sedan,B8G40691,57090.0000,57090.0000,6,0,,0,6
2026 BMW 3 Series,No,No,M340i NA Sedan,B8G39223,68090.0,68090.0,9,0,,1,6
2017 Mercedes-Benz S-Class,No,No,S 550 4MATIC Coupe,M2Y05278A,44394.0,44394.0,29523,0,,1,6
2027 BMW X6,Yes,Yes,xDrive40i Sports Activity Coupe,B9442952,86280.0,86280.0,10,0,,1,6
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9442543,89480.0000,89480.0000,6,0,,1,6
2022 MINI Hardtop 2 Door,No,No,Cooper SE FWD,B5596875A,0.0,0.0,1962,1,05/05/2026 01:15:00 +00:00,1,6
2018 BMW X3,No,No,M40i Sports Activity Vehicle,BP9X37453A,29491.0,29491.0,30491,1,05/02/2026 19:39:46 +00:00,1,6
2027 BMW M5,No,No,Touring,BCX82162,141470.0000,141470.0000,16,0,,2,6
2023 BMW M8,No,No,Competition Coupe,BPCM57716,87024.0,87024.0,23828,1,05/03/2026 18:50:38 +00:00,2,6
2026 BMW X5,No,No,M60i Sports Activity Vehicle,B9437424,102450.0000,102450.0000,9,1,02/20/2026 10:10:40 +00:00,2,6
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454120,59660.0000,59660.0000,8,0,,2,6
2024 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9407613A,44885.0,44885.0,49205,1,05/06/2026 20:28:11 +00:00,2,6
2024 MINI Hardtop 2 Door,No,No,Cooper S FWD,BP2U33847,29891.0,29891.0,11390,3,05/06/2026 18:48:42 +00:00,3,6
2023 BMW 5 Series,No,No,530i Sedan,BPCN07994,39689.0,39689.0,26073,0,,0,7
2023 BMW X6,No,No,M50i Sports Activity Coupe,BP9R97868,66891.0,66891.0,24287,0,,0,7
2024 BMW iX,No,No,xDrive50 Sports Activity Vehicle,BPCN95686,55259.0000,55259.0000,18880,0,,0,7
2018 Rolls-Royce Ghost,No,No,Sedan,BPUX54386,167625.0000,167625.0000,39770,0,,0,7
2023 BMW 3 Series,No,No,330i Sedan,B8G25460A,37261.0000,37261.0000,4652,0,,0,7
2022 Bentley Flying Spur,No,No,V8 Sedan,RC021498A,179624.0000,179624.0000,9980,0,,0,7
2025 Bentley Continental,No,No,GT Speed Convertible,RC028255A,348173.0,348173.0,1375,0,,0,7
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9433613A,41425.0,41425.0,27875,0,,0,7
2022 Rolls-Royce Cullinan,No,No,Sport Utility,RU235145A,319180.0,319180.0,20470,0,,0,7
2024 Bentley Continental,No,No,GT V8 Convertible,BPC017477,276809.0,276809.0,4949,0,,0,7
2023 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9439226A,36860.0,36860.0,14484,1,05/04/2026 15:35:17 +00:00,1,7
2024 BMW iX,No,No,xDrive50 Sports Activity Vehicle,BPCN04787,54981.0,54981.0,21427,0,,1,7
2026 BMW 7 Series,No,No,760i xDrive Sedan,BCX42769,138110.0,138110.0,27,0,,2,7
2023 BMW iX,No,No,M60 Sports Activity Vehicle,BPCM45553,0.0,0.0,27245,4,05/04/2026 18:54:48 +00:00,4,7
2023 Nissan Murano,No,No,FWD SL,B9076867A,0.0000,0.0000,27562,0,,0,8
2024 BMW X1,No,No,xDrive28i Sports Activity Vehicle,BP9237444A,34891.0000,34891.0000,13747,0,,0,8
2026 BMW 3 Series,No,No,330i NA Sedan,B8G32172,56590.0,56590.0,6,0,,0,8
2024 BMW X4,No,No,xDrive30i Sports Activity Coupe,B5607075A,44875.0,44875.0,17289,0,,0,8
2024 BMW 5 Series,No,No,530i Sedan,BPCX01577A,49591.0000,49591.0000,26592,0,,0,8
2006 Cadillac SRX,No,No,4dr V8 SUV,B9439579A,13925.0000,13925.0000,99964,0,,0,8
2023 BMW 7 Series,No,No,760i xDrive Sedan,M2X69407B,70425.0000,70425.0000,35279,0,,0,8
2024 BMW X7,No,No,xDrive40i Sports Activity Vehicle,B9387153A,70425.0000,70425.0000,24292,0,,0,8
2022 BMW X3 M,No,No,Sports Activity Vehicle,M2Y45917A,63891.0,63891.0,39223,4,05/04/2026 21:05:15 +00:00,5,8
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9437305,86180.0,86180.0,8,0,,2,9
2026 BMW 4 Series,No,No,430i Convertible,BCX61835,74075.0000,74075.0000,9,0,,0,9
2020 Rolls-Royce Ghost,No,No,Sedan,RU234217B,239990.0,239990.0,11254,0,,0,9
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,M7V05647A,39626.0000,39626.0000,15325,0,,0,9
2021 Rolls-Royce Cullinan,No,No,Sport Utility,RU234217A,331814.0000,331814.0000,10210,0,,0,9
2026 BMW 3 Series,No,No,M340i NA Sedan,B8G34474,68130.0000,68130.0000,10,0,,0,9
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9442270,90680.0,90680.0,6,0,,0,9
2024 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9437615A,56425.0000,56425.0000,30371,0,,0,9
2027 BMW X7,No,No,xDrive40i Sports Activity Vehicle,B9437422,100830.0,100830.0,6,0,,1,9
2026 MINI Convertible,No,No,Cooper S FWD,M2Y41228,43240.0000,43240.0000,10,0,,1,9
2023 BMW 3 Series,No,No,330i Sedan,B8G26816A,37748.0,37748.0,4237,1,05/06/2026 17:30:39 +00:00,1,9
2025 Toyota Tacoma 4WD,Yes,Yes,Double Cab Bed,B9378008A,42433.0,42433.0,16478,0,,1,9
2026 MINI Countryman,No,No,S ALL4,M7V44633,46350.0000,46350.0000,6,0,,1,9
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9442456,79250.0000,79250.0000,6,0,,1,9
2026 Rolls-Royce Spectre,No,No,Coupe,RU234978,470550.0000,470550.0000,0,0,,1,9
2024 BMW X3,No,No,M40i Sports Activity Vehicle,B9453275A,55391.0,55391.0,12439,2,05/03/2026 19:03:51 +00:00,2,9
2026 MINI Countryman,No,No,S ALL4,M7V42823,46350.0,46350.0,9,0,,2,9
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9442296,79825.0000,79825.0000,14,2,05/04/2026 10:39:55 +00:00,3,9
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9452238,60610.0000,60610.0000,7,0,,3,9
2026 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5636847,48055.0,48055.0,7,2,05/01/2026 21:44:18 +00:00,4,9
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle South Africa,B9435202A,41591.0000,41591.0000,12820,0,,0,10
2022 Land Rover Range Rover,No,No,P525 Westminster LWB,RU235768A,67491.0,67491.0,18839,1,05/02/2026 03:15:59 +00:00,2,10
2025 BMW 3 Series,No,No,330i Sedan,BFW54829A,41013.0,41013.0,8687,2,05/05/2026 22:27:46 +00:00,3,10
2025 Aston Martin Vanquish,No,No,Coupe,RC029188A,449990.0000,449990.0000,590,0,,0,11
2024 BMW X7,No,No,xDrive40i Sports Activity Vehicle,BP9S25756,67291.0,67291.0,26618,0,,0,11
2026 Rolls-Royce Spectre,No,No,Coupe,RU235433A,499891.0,499891.0,186,0,,0,11
2022 Volkswagen Tiguan,No,No,2.0T SE R-Line Black FWD,B9391161A,22457.0000,22457.0000,23850,0,,0,11
2026 BMW XM,No,No,Label Sports Activity Vehicle,B9435184,161935.0000,161935.0000,24,0,,0,11
2025 Rolls-Royce Ghost,No,No,Black Badge Sedan,RC032540B,489891.0,489891.0,256,0,,0,11
2026 Porsche 911,No,No,Carrera Cabriolet,RC029188B,193585.0,193585.0,589,0,,0,11
2026 BMW X5,Yes,Yes,sDrive40i Sports Activity Vehicle,B9441483,80300.0,80300.0,6,1,05/05/2026 23:05:14 +00:00,0,11
2024 Audi RS 3,No,No,2.5 TFSI,RU226587B,64591.0,64591.0,31620,0,,0,11
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9444734A,37688.0,37688.0,24578,0,,0,11
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9451945,58660.0000,58660.0000,6,0,,0,11
2024 Rolls-Royce Cullinan,No,No,Black Badge Sport Utility,BPU223434,405803.0000,405803.0000,5343,0,,1,11
2024 BMW 4 Series,No,No,430i Gran Coupe,B8G25733A,36110.0,36110.0,35851,0,,1,11
2022 BMW X3,No,No,sDrive30i Sports Activity Vehicle South Africa,B9444886A,31234.0,31234.0,31791,0,,1,11
2026 BMW XM,No,No,Label Sports Activity Vehicle,B9438050,161720.0,161720.0,10,1,05/02/2026 15:51:02 +00:00,1,11
2024 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9435268A,66425.0,66425.0,43482,0,,2,11
2024 BMW X7,Yes,Yes,xDrive40i Sports Activity Vehicle,B9439981A,68591.0,68591.0,27303,2,05/04/2026 15:29:03 +00:00,2,11
2026 BMW 2 Series,No,No,228 Gran Coupe,B9419430A,41531.0,41531.0,5078,1,05/03/2026 14:43:15 +00:00,2,11
2026 BMW X3,No,No,M50 xDrive Sports Activity Vehicle,B9452437,73880.0,73880.0,10,0,,2,11
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9452127,60010.0,60010.0,8,0,,2,11
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9435478,73050.0,73050.0,6,3,05/02/2026 15:30:04 +00:00,7,11
2026 MINI Convertible,No,No,Cooper S FWD,M2Y42727,43540.0000,43540.0000,9,0,,0,12
2022 Bentley Continental,No,No,GT Speed Coupe,RC028626A,218425.0000,218425.0000,12326,0,,0,12
2027 BMW 5 Series,Yes,Yes,550e xDrive Sedan,BCX84263,82900.0,82900.0,9,1,05/05/2026 16:51:01 +00:00,0,12
2026 Rolls-Royce Cullinan,No,No,Sport Utility,RU235815,497650.0,497650.0,33,0,,0,12
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9441239A,35749.0,35749.0,38451,0,,0,12
2026 Bentley Bentayga,No,No,Azure,RC033488,306705.0000,306705.0000,20,0,,0,12
2026 MINI Convertible,No,No,Cooper S FWD,M2Y42871,43540.0000,43540.0000,6,0,,0,12
2027 BMW X7,No,No,M60i Sports Activity Vehicle,B9438216,124430.0000,124430.0000,7,0,,0,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW63806,56915.0000,56915.0000,7,0,,0,12
2024 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9441033A,53891.0,53891.0,21639,0,,0,12
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9448963,60710.0000,60710.0000,8,0,,0,12
2026 MINI Convertible,No,No,Cooper S FWD,M2Y45928,43740.0000,43740.0000,11,0,,0,12
2026 MINI Convertible,No,No,Cooper S FWD,M2Y43780,44790.0000,44790.0000,8,0,,0,12
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9437416,86180.0000,86180.0000,5,0,,0,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW57084,53465.0000,53465.0000,7,0,,0,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW59922,52015.0000,52015.0000,7,0,,0,12
2026 BMW 2 Series,No,No,230i Coupe,B8G35322,47085.0000,47085.0000,9,0,,0,12
2023 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9441008A,0.0000,0.0000,21235,0,,0,12
2026 MINI Hardtop 2 Door,No,No,John Cooper Works FWD,M2Y33350,47395.0,47395.0,8,0,,0,12
2023 BMW X7,No,No,xDrive40i Sports Activity Vehicle,B9436496A,67391.0,67391.0,19194,0,,0,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW58320,56215.0,56215.0,10,0,,0,12
2026 Bentley Bentayga,No,No,V8,RC033538,265495.0,265495.0,15,0,,0,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW60413,56865.0000,56865.0000,5,0,,1,12
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9452071,57110.0000,57110.0000,6,1,04/26/2026 20:28:42 +00:00,1,12
2026 BMW 3 Series,No,No,330i NA Sedan,B8G27745,50675.0000,50675.0000,10,0,,1,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW58408,51365.0,51365.0,8,0,,1,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW62282,51265.0000,51265.0000,5,0,,1,12
2027 BMW X7,No,No,xDrive40i Sports Activity Vehicle,B9437651,95475.0,95475.0,5,0,,1,12
2027 BMW 5 Series,No,No,530i,BCX78866,72190.0000,72190.0000,10,0,,1,12
2023 BMW X2,No,No,sDrive28i Sports Activity Coupe,B9432196A,0.0000,0.0000,45869,1,04/29/2026 09:55:19 +00:00,1,12
2026 Rolls-Royce Cullinan,Yes,No,Sport Utility,RU235840,488050.0000,488050.0000,21,1,04/30/2026 17:33:39 +00:00,1,12
2026 Rolls-Royce Cullinan,No,No,Sport Utility,RU235883,484050.0000,484050.0000,35,0,,1,12
2026 BMW 3 Series,No,No,330i NA Sedan,B8G32646,56940.0,56940.0,8,1,05/06/2026 04:56:54 +00:00,1,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW57959,52265.0,52265.0,8,0,,1,12
2026 BMW X3,No,No,M50 xDrive Sports Activity Vehicle,B9451645,75930.0000,75930.0000,6,0,,2,12
2027 BMW 5 Series,No,No,530i,BCX82903,68640.0,68640.0,8,1,04/28/2026 16:36:32 +00:00,2,12
2026 BMW 3 Series,Yes,No,330i NA Sedan,B8G32593,56225.0,56225.0,8,0,,2,12
2026 BMW i4,No,No,eDrive40 Gran Coupe,BFW64068,67995.0000,67995.0000,7,0,,3,12
2026 BMW i4,No,No,eDrive40 Gran Coupe,BFW59593,62095.0,62095.0,6,0,,3,12
2026 MINI Convertible,No,No,Cooper S FWD,M2Y41608,42490.0,42490.0,12,0,,3,12
2026 BMW 7 Series,No,No,740i Sedan,BCX80667,115390.0,115390.0,8,3,05/04/2026 12:06:41 +00:00,4,12
2025 BMW i4,No,No,eDrive40 Gran Coupe,BCX56698A,43891.0,43891.0,6134,4,05/04/2026 17:56:09 +00:00,4,12
2026 BMW iX,No,No,xDrive45 Sports Activity Vehicle,BCX70691,89175.0,89175.0,8,3,05/06/2026 15:39:41 +00:00,4,12
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9448933,56860.0,56860.0,7,4,04/30/2026 14:26:39 +00:00,5,12
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9436639,87480.0,87480.0,8,3,05/05/2026 20:12:35 +00:00,5,12
2024 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9436624A,67891.0,67891.0,21312,1,05/03/2026 19:36:31 +00:00,5,12
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW59675,56015.0000,56015.0000,7,0,,0,13
2025 BMW X3,No,No,30 xDrive Sports Activity Vehicle,BP9130842,55735.0000,55735.0000,5861,0,,0,13
2027 BMW X7,No,No,xDrive40i Sports Activity Vehicle,B9436491,95730.0000,95730.0000,7,0,,0,13
2025 BMW X5,No,No,sDrive40i Sports Activity Vehicle,BCX10247A,61291.0,61291.0,14757,0,,0,13
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW56781,53465.0000,53465.0000,9,0,,0,13
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW61755,57365.0000,57365.0000,8,0,,0,13
2024 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9418738A,51291.0,51291.0,30826,1,04/27/2026 12:08:36 +00:00,0,13
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9434049,58460.0,58460.0,7,0,,1,13
2027 BMW X7,No,No,xDrive40i Sports Activity Vehicle,B9437461,96730.0000,96730.0000,5,1,03/26/2026 12:18:30 +00:00,1,13
2026 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5632592,47680.0,47680.0,7,0,,1,13
2026 Mercedes-Benz E-Class,No,No,AMG E 53 4MATIC+ Wagon,RU235112A,108648.0,108648.0,2418,2,05/04/2026 21:26:27 +00:00,2,13
2019 Aston Martin DB11,No,No,V8 Coupe,RU235099B,90718.0,90718.0,28779,3,05/04/2026 22:18:42 +00:00,5,13
2025 BMW X7,No,No,xDrive40i Sports Activity Vehicle,BCX34975A,75425.0,75425.0,7462,1,04/23/2026 16:49:21 -05:00,2,14
2026 BMW X2,No,No,xDrive28i Sports Activity Coupe,B5613519,52685.0,52685.0,9,1,05/06/2026 15:27:45 -05:00,3,14
2026 Bentley Continental GTC,No,No,,RC028385,417900.0000,417900.0000,25,0,,0,14
2026 BMW iX,No,No,xDrive45 Sports Activity Vehicle,BCX70288,85175.0000,85175.0000,10,0,,0,14
2026 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2Y46427,38390.0000,38390.0000,7,0,,0,14
2026 BMW i7,No,No,eDrive50 Sedan,BCX76311,115530.0000,115530.0000,3,0,,0,14
2026 BMW 3 Series,No,No,330i Sedan *Ltd Avail*,BFW58818,51365.0000,51365.0000,7,0,,0,14
2026 MINI Convertible,No,No,Cooper S FWD,M2Y46604,44790.0000,44790.0000,6,0,,0,14
2026 Bentley Continental GTC,No,No,,RC028582,393990.0000,393990.0000,25,0,,0,14
2026 Rolls-Royce Cullinan,No,No,Black Badge Sport Utility,RU235566,600850.0000,600850.0000,21,0,,0,14
2023 Rolls-Royce Cullinan,No,No,Sport Utility,RU235782A,365432.0,365432.0,4222,0,,0,14
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9448651,58610.0000,58610.0000,6,0,,0,14
2026 BMW X5,No,No,xDrive40i Sports Activity Vehicle,B9435170,82595.0,82595.0,8,1,05/05/2026 10:11:13 +00:00,0,14
2026 MINI Convertible,No,No,Cooper S FWD,M2Y46124,43740.0000,43740.0000,6,0,,0,14
2022 Ferrari Roma,Yes,No,Coupe,RU235099A,225478.0000,225478.0000,1844,1,04/10/2026 17:38:28 +00:00,1,14
2026 BMW X2,No,No,xDrive28i Sports Activity Coupe,B5606881,54435.0000,54435.0000,6,0,,1,14
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9437290,76250.0,76250.0,7,0,,2,14
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9436396,85830.0,85830.0,5,3,05/02/2026 03:24:43 +00:00,2,14
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9436685,79900.0,79900.0,6,0,,2,14
2026 BMW X2,No,No,xDrive28i Sports Activity Coupe,B5605447,54535.0,54535.0,5,0,,2,14
2026 BMW 7 Series,No,No,760i xDrive Sedan,BCX60750,134640.0,134640.0,9,0,,2,14
2026 BMW XM,No,No,Label Sports Activity Vehicle,B9434937,161935.0,161935.0,12,1,04/29/2026 21:58:55 +00:00,2,14
2026 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5618035,48075.0000,48075.0000,7,0,,2,14
2026 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5622317,46890.0000,46890.0000,10,2,04/18/2026 15:54:57 +00:00,2,14
2023 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5622629A,33531.0,33531.0,15927,2,05/05/2026 06:21:42 +00:00,2,14
2026 Bentley Continental GTC,No,No,,RC029155,409510.0000,409510.0000,33,0,,3,14
2026 BMW X2,No,No,xDrive28i Sports Activity Coupe,B5603703,54435.0000,54435.0000,7,1,04/24/2026 21:02:01 +00:00,3,14
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9435224,79900.0,79900.0,5,0,,4,14
2026 BMW iX,No,No,xDrive45 Sports Activity Vehicle,BCX62054,91945.0,91945.0,10,2,05/05/2026 20:13:22 +00:00,5,14
2024 MINI Hardtop 2 Door,No,No,Cooper S FWD,BP2U50506,28591.0,28591.0,2504,0,,0,15
2026 Bentley Bentayga,No,No,,RC033475,412550.0,412550.0,28,0,,0,15
2024 Volkswagen Golf R,No,No,2.0T Manual,BCX336627B,50425.0000,50425.0000,7471,0,,0,15
2026 BMW 430XDRIVE,No,No,,BCX77273,69930.0000,69930.0000,6,0,,0,15
2023 Bentley Continental,No,No,GT V8 Coupe,BPC006259,231403.0000,231403.0000,5002,0,,0,15
2026 Bentley Bentayga,No,No,,RC033250,404255.0000,404255.0000,25,0,,0,15
2026 BMW 7 Series,No,No,740i Sedan,BCX57678,111440.0000,111440.0000,12,0,,0,15
2026 BMW i4,No,No,eDrive40 Gran Coupe,BFW50411,64645.0,64645.0,7,0,,1,15
2020 Bentley Continental,No,No,GT V8 Convertible,BPC077004,185166.0,185166.0,7299,1,04/24/2026 14:03:16 +00:00,1,15
2023 BMW i4,No,No,eDrive35 Gran Coupe,BPFP74703,38591.0,38591.0,12864,1,05/04/2026 02:07:35 +00:00,1,15
2026 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5602876,48780.0,48780.0,7,0,,1,15
2026 BMW i4,No,No,eDrive40 Gran Coupe,BFW50677,60595.0,60595.0,8,2,04/28/2026 17:52:18 +00:00,2,15
2023 BMW i4,No,No,eDrive40 Gran Coupe,BPFP78716,38691.0,38691.0,25078,2,04/29/2026 18:14:25 +00:00,2,15
2024 BMW 3 Series,No,No,330e Plug-In Hybrid,BFW53152A,39891.0,39891.0,15345,2,05/04/2026 14:08:13 +00:00,3,15
2023 MINI Convertible,No,No,John Cooper Works FWD,BP3R22646,35791.0,35791.0,3221,5,05/04/2026 23:57:17 +00:00,3,15
2026 Bentley Bentayga,No,No,Azure,RC033289,305220.0000,305220.0000,25,0,,3,15
2023 BMW X5,No,No,xDrive40i Sports Activity Vehicle,B9425727A,52391.0,52391.0,23355,4,05/05/2026 11:46:12 +00:00,4,15
2026 Bentley Continental GTC,No,No,,RC028352,353240.0,353240.0,37,0,,0,16
2021 Cadillac XT4,No,No,FWD 4dr Premium Luxury,B9281553B,0.0000,0.0000,89956,0,,0,16
2026 BMW i4,No,No,eDrive40 Gran Coupe,BFW52208,60345.0,60345.0,27,0,,0,16
2026 Bentley Continental GTC,No,No,,RC026410,380335.0,380335.0,59,0,,0,16
2023 Mercedes-Benz S-Class,No,No,S 580 4MATIC Sedan,RC033124A,84184.0000,84184.0000,21916,0,,0,16
2026 BMW 7 Series,No,No,740i Sedan,BCX65421,118180.0000,118180.0000,8,0,,0,16
2026 MINI Hardtop 2 Door,No,No,John Cooper Works FWD,M2Y32934,47395.0000,47395.0000,10,0,,0,16
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9441370A,37291.0000,37291.0000,23603,0,,0,16
2024 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2Y43113B,29981.0000,29981.0000,15951,0,,0,16
2020 Rolls-Royce Cullinan,No,No,Sport Utility,RU234782A,265891.0000,265891.0000,33372,0,,0,16
2026 BMW 3 Series,No,No,330i NA Sedan,B8G29489,56875.0,56875.0,10,0,,0,16
2026 BMW i4,No,No,eDrive40 Gran Coupe,BFW51782,67895.0,67895.0,8,1,04/24/2026 15:54:00 +00:00,1,16
2023 Bentley Flying Spur,No,No,V8 Sedan,RU235670A,173453.0,173453.0,23532,0,,1,16
2026 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5612223,48025.0,48025.0,7,0,,1,16
2027 BMW 4 Series,No,No,M440i Convertible,BCX75923,80720.0,80720.0,8,0,,1,16
2024 MINI Hardtop 2 Door,No,No,John Cooper Works FWD,M2Y31632A,33940.0000,33940.0000,19075,0,,1,16
2014 Bentley Continental GT V8,No,No,2dr Conv,RC026682A,89990.0,89990.0,10262,0,,1,16
2024 MINI Hardtop 2 Door,No,No,Cooper FWD,M2Y43113A,21891.0,21891.0,6785,1,05/05/2026 20:18:28 +00:00,1,16
2026 MINI Convertible,No,No,Cooper S FWD,M2Y43365,43240.0,43240.0,10,0,,1,16
2027 BMW 4 Series,Yes,Yes,M440i Convertible,BCX77421,80720.0,80720.0,8,0,,2,16
2026 BMW 7 Series,No,No,740i Sedan,BCX74918,104990.0,104990.0,6,2,04/26/2026 15:15:15 +00:00,3,16
2026 BMW M4,Yes,No,Competition Coupe,BCX59168,92830.0000,92830.0000,17,3,05/04/2026 16:36:58 +00:00,3,16
2024 Bentley Bentayga,No,No,Hybrid AWD,RC025827A,229895.0,229895.0,2835,0,,0,17
2022 Rolls-Royce Cullinan,No,No,Black Badge Sport Utility,RU235577A,389900.0000,389900.0000,10819,0,,0,17
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9429483A,43391.0000,43391.0000,11606,0,,0,17
2023 BMW X5,No,No,xDrive40i Sports Activity Vehicle,B9406523A,53791.0000,53791.0000,9082,0,,0,18
2024 BMW 3 Series,No,No,330i Sedan,BFW39921A,39891.0,39891.0,26267,0,,0,18
2026 BMW 7 Series,No,No,740i Sedan,BCX67043,123490.0000,123490.0000,6,0,,0,18
2021 Bentley Bentayga,No,No,V8 AWD,RU233678B,121049.0,121049.0,37717,0,,0,18
2021 Rolls-Royce Cullinan,No,No,Sport Utility,RU233517C,298534.0,298534.0,27345,0,,0,18
2026 Rolls-Royce Cullinan,No,No,Black Badge Sport Utility,RU235808,567450.0000,567450.0000,27,1,04/28/2026 16:49:52 +00:00,1,18
